File, Cycle, Orbit, Date and Time, image x_cord, image y-cord, Longitude, Latitude, TCWV, TCWV_average, Excluded_pixels (%), target flag   
S3B_SL_2_LST____20180528T084150_20180528T084450_20200903T164029_0179_005_007_2340_LR1_R_NT_004.SEN3,5,7, 2018-05-28 08:43:32.512022,636,872,23.77968189,35.33778455,21.751999,21.75414065,21.01977107,0b11000001000
S3B_SL_2_LST____20180601T084126_20180601T084426_20200817T185654_0179_008_007_2340_LR1_R_NT_004.SEN3,8,7, 2018-06-01 08:43:04.286672,605,861,23.77968189,35.33778455,22.114,22.1228497,13.94380853,0b10000001000
S3B_SL_2_LST____20180628T084202_20180628T084502_20200817T223856_0179_010_007_2340_LR1_R_NT_004.SEN3,10,7, 2018-06-28 08:43:38.958688,600,874,23.77968189,35.33778455,23.253,23.26835018,10.92611863,0b100010000001000
S3B_SL_2_LST____20180725T084200_20180725T084500_20200818T021909_0179_011_007_2340_LR1_R_NT_004.SEN3,11,7, 2018-07-25 08:43:37.222878,600,874,23.77968189,35.33778455,23.987999,24.00759103,13.42351717,0b10000001000
S3B_SL_2_LST____20180821T084156_20180821T084456_20200818T060416_0179_012_007_2340_LR1_R_NT_004.SEN3,12,7, 2018-08-21 08:43:33.049114,601,874,23.77968189,35.33778455,25.2,25.21128083,13.73569199,0b10000001000
S3B_SL_2_LST____20180917T084158_20180917T084458_20200818T095315_0179_013_007_2340_LR1_R_NT_004.SEN3,13,7, 2018-09-17 08:43:34.715639,601,874,23.77968189,35.33778455,24.421,24.4204618,12.1748179,0b100010000001000
S3B_SL_2_LST____20181014T084200_20181014T084500_20200818T163647_0180_014_007_2340_LR1_R_NT_004.SEN3,14,7, 2018-10-14 08:43:37.142369,600,874,23.77968189,35.33778455,21.355,21.3473104,12.27887617,0b10000001000
S3B_SL_2_LST____20181110T081657_20181110T081957_20200823T024853_0179_017_007_2340_LR1_R_NT_004.SEN3,17,7, 2018-11-10 08:19:28.718086,707,312,23.77968189,35.33778455,18.154999,18.14994828,10.40582726,0b100010100001000
S3B_SL_2_LST____20181217T084404_20181217T084704_20200823T071549_0179_020_007_2340_LR1_R_NT_004.SEN3,20,7, 2018-12-17 08:45:39.356604,592,915,23.77968189,35.33778455,15.544,15.53895801,11.86264308,0b10000001000
S3B_SL_2_LST____20190113T084407_20190113T084707_20200819T054936_0179_021_007_2340_LR1_R_NT_004.SEN3,21,7, 2019-01-13 08:45:42.269624,592,916,23.77968189,35.33778455,14.205999,14.20181482,13.11134235,0b100010000001000
